college_name,college_type,financial_aid,major,roi,total_cost
William Paterson University of New Jersey(In-State),instate,,art,227000,112000
Biola University(Private),private,,art,226000,197000
University of Florida(In-State),instate,,art,226000,81600
George Mason University(Out-of-State),outofstate,,art,224000,187000
Philadelphia University(Private),private,,art,224000,211000
Drexel University(Private),private,,art,222000,267000
Denison University(Private),private,,art,218000,239000
University of Georgia(In-State),instate,,art,218000,96100
California State University-Chico(Out-of-State),outofstate,,art,217000,137000
Iowa State University(In-State),instate,,art,217000,77200
University of California-Irvine(In-State),instate,,art,216000,127000
University of Minnesota-Twin Cities(In-State),instate,,art,216000,104000
Wake Forest University(Private),private,,art,216000,254000
Ohio State University-Main Campus(In-State),instate,,art,215000,103000
University of Illinois at Urbana-Champaign(Out-of-State),outofstate,,art,215000,178000
University of Maryland-College Park(Out-of-State),outofstate,,art,214000,182000
University of Miami(Private),private,,art,213000,250000
San Diego State University(Out-of-State),outofstate,,art,210000,150000
Boston College(Private),private,,art,209000,257000
Mills College(Private),private,,art,209000,240000
University of Utah(In-State),instate,,art,209000,89300
University of Vermont(In-State),instate,,art,208000,122000
California State University-Sacramento(Out-of-State),outofstate,,art,206000,140000
Central Connecticut State University(In-State),instate,,art,206000,97300
Colorado State University-Fort Collins(In-State),instate,,art,206000,95300
Massachusetts College of Art and Design(Out-of-State),outofstate,,art,206000,189000
University of North Carolina School of the Arts(In-State),instate,,art,206000,90400
California State University-Long Beach(Out-of-State),outofstate,,art,205000,136000
Montclair State University(In-State),instate,,art,204000,115000
SUNY at Albany(In-State),instate,,art,204000,94700
University of Delaware(Out-of-State),outofstate,,art,204000,180000
Kean University(In-State),instate,,art,203000,112000
California State Polytechnic University-Pomona(Out-of-State),outofstate,,art,201000,143000
Drew University(Private),private,,art,200000,248000
James Madison University(Out-of-State),outofstate,,art,198000,156000
University of Kansas(In-State),instate,,art,198000,95700
Miami University-Oxford(In-State),instate,,art,197000,119000
Purdue University-Main Campus(In-State),instate,,art,197000,92300
SUNY at Purchase College(Out-of-State),outofstate,,art,196000,139000
Skidmore College(Private),private,,art,196000,256000
University of Massachusetts-Lowell(Out-of-State),outofstate,,art,196000,169000
William Paterson University of New Jersey(Out-of-State),outofstate,,art,196000,143000
Temple University(Out-of-State),outofstate,,art,195000,166000
University of Maryland-Baltimore County(In-State),instate,,art,195000,103000
Texas Christian University(Private),private,,art,193000,223000
University of Colorado Boulder(In-State),instate,,art,193000,120000
University of Massachusetts-Amherst(In-State),instate,,art,193000,110000
University of Chicago(Private),private,,art,192000,275000
Pennsylvania State University-Main Campus(Out-of-State),outofstate,,art,190000,193000
DePaul University(Private),private,,art,189000,207000
