college_name,college_type,financial_aid,major,roi,total_cost
University of Mary Washington(Out-of-State),outofstate,,business,458000,156000
William Paterson University of New Jersey(Out-of-State),outofstate,,business,458000,143000
Lebanon Valley College(Private),private,,business,457000,207000
Northern Illinois University(In-State),instate,,business,456000,115000
Western Washington University(Out-of-State),outofstate,,business,456000,140000
St. Thomas Aquinas College(Private),private,,business,455000,174000
University of Scranton(Private),private,,business,455000,229000
La Salle University(Private),private,,business,454000,219000
West Virginia University(In-State),instate,,business,454000,80500
California State Polytechnic University-Pomona(In-State),instate,,business,453000,98300
Stevenson University(Private),private,,business,453000,186000
Western Connecticut State University(In-State),instate,,business,452000,97600
Dallas Baptist University(Private),private,,business,451000,144000
Oglethorpe University(Private),private,,business,451000,196000
Tulane University of Louisiana(Private),private,,business,451000,256000
University of the Pacific(Private),private,,business,451000,239000
Clemson University(In-State),instate,,business,450000,114000
Michigan Technological University(Out-of-State),outofstate,,business,450000,172000
Northwestern University(Private),private,,business,449000,267000
University of Illinois at Chicago(Out-of-State),outofstate,,business,449000,169000
University of St Thomas (Minnesota)(Private),private,,business,449000,203000
Washington Adventist University(Private),private,,business,449000,131000
Michigan State University(Out-of-State),outofstate,,business,447000,193000
Utah State University(In-State),instate,,business,447000,74000
Notre Dame of Maryland University(Private),private,,business,446000,189000
Temple University(In-State),instate,,business,446000,125000
West Chester University of Pennsylvania(In-State),instate,,business,446000,104000
Ohio University-Main Campus(In-State),instate,,business,445000,102000
University of Mount Union(Private),private,,business,445000,161000
Regis University(Private),private,,business,444000,191000
North Central College(Private),private,,business,443000,190000
Rhodes College(Private),private,,business,443000,227000
Illinois State University(In-State),instate,,business,442000,109000
University of Houston-Victoria(Out-of-State),outofstate,,business,442000,121000
Arizona State University-Tempe(Out-of-State),outofstate,,business,441000,160000
Rosemont College(Private),private,,business,441000,176000
University of Massachusetts-Lowell(Out-of-State),outofstate,,business,441000,169000
Central Washington University(In-State),instate,,business,440000,90500
California State University-Sacramento(Out-of-State),outofstate,,business,439000,140000
Towson University(In-State),instate,,business,438000,96900
Rutgers University-Camden(In-State),instate,,business,437000,119000
SUNY College at Geneseo(Out-of-State),outofstate,,business,437000,131000
Abilene Christian University(Private),private,,business,436000,176000
California State University-San Marcos(In-State),instate,,business,436000,96300
LeTourneau University(Private),private,,business,436000,163000
University of Arkansas(In-State),instate,,business,436000,93100
Concordia University-Texas(Private),private,,business,435000,164000
Stony Brook University(Out-of-State),outofstate,,business,435000,151000
Elon University(Private),private,,business,434000,184000
Westmont College(Private),private,,business,434000,226000
Drake University(Private),private,,business,433000,189000
Central Connecticut State University(Out-of-State),outofstate,,business,432000,146000
Oregon State University(In-State),instate,,business,432000,101000
Purdue University-Main Campus(Out-of-State),outofstate,,business,432000,168000
Fairleigh Dickinson University-College at Florham(Private),private,,business,431000,223000
University of South Florida-Main Campus(In-State),instate,,business,431000,84200
Bridgewater State University(In-State),instate,,business,430000,95700
Illinois Wesleyan University(Private),private,,business,430000,214000
Rivier University(Private),private,,business,430000,177000
Saint Joseph's University(Private),private,,business,430000,231000
Sam Houston State University(In-State),instate,,business,430000,82500
University of Missouri-Columbia(Out-of-State),outofstate,,business,430000,158000
University of Vermont(Out-of-State),outofstate,,business,430000,210000
University of Cincinnati-Main Campus(In-State),instate,,business,429000,111000
University of Rhode Island(In-State),instate,,business,429000,111000
Framingham State University(In-State),instate,,business,428000,94800
Louisiana State University and Agricultural & Mechanical College(Out-of-State),outofstate,,business,428000,172000
Washington State University(Out-of-State),outofstate,,business,428000,165000
Concordia University-Saint Paul(Private),private,,business,427000,130000
Gettysburg College(Private),private,,business,426000,246000
Hiram College(Private),private,,business,426000,178000
Lawrence Technological University(Private),private,,business,426000,180000
New Jersey City University(Out-of-State),outofstate,,business,426000,145000
Texas Tech University(Out-of-State),outofstate,,business,426000,126000
University of North Texas(In-State),instate,,business,426000,86400
Juniata College(Private),private,,business,425000,210000
University of Kansas(Out-of-State),outofstate,,business,425000,158000
University of Wisconsin-Milwaukee(In-State),instate,,business,425000,91600
Embry-Riddle Aeronautical University-Daytona Beach(Private),private,,business,424000,194000
Ramapo College of New Jersey(Out-of-State),outofstate,,business,424000,154000
San Diego State University(Out-of-State),outofstate,,business,424000,150000
Truman State University(In-State),instate,,business,424000,81500
University of North Florida(In-State),instate,,business,424000,84000
Salisbury University(In-State),instate,,business,423000,94400
Texas State University(Out-of-State),outofstate,,business,423000,125000
University of Northern Colorado(In-State),instate,,business,423000,88400
California State University-Stanislaus(In-State),instate,,business,422000,82600
Ohio State University-Main Campus(Out-of-State),outofstate,,business,422000,170000
University of Wyoming(In-State),instate,,business,422000,75600
California State University-Long Beach(Out-of-State),outofstate,,business,421000,136000
Iowa State University(Out-of-State),outofstate,,business,421000,129000
North Carolina State University at Raleigh(In-State),instate,,business,421000,90600
The University of Texas at Arlington(Out-of-State),outofstate,,business,421000,133000
California Lutheran University(Private),private,,business,420000,221000
Grove City College(Private),private,,business,420000,105000
University of Wisconsin-Oshkosh(In-State),instate,,business,420000,73000
University of Oregon(In-State),instate,,business,419000,99700
Northern Illinois University(Out-of-State),outofstate,,business,418000,152000
Columbia University in the City of New York(Private),private,,business,417000,272000
Marymount University(Private),private,,business,417000,177000
University of Missouri-Kansas City(In-State),instate,,business,417000,98200
CUNY City College(In-State),instate,,business,414000,111000
Elizabethtown College(Private),private,,business,414000,212000
University of Minnesota-Duluth(In-State),instate,,business,414000,94700
University of North Carolina at Charlotte(In-State),instate,,business,413000,82300
Saint Cloud State University(In-State),instate,,business,412000,77700
Weber State University(In-State),instate,,business,412000,74400
St John's University-New York(Private),private,,business,411000,230000
Albion College(Private),private,,business,410000,204000
University of Idaho(Out-of-State),outofstate,,business,410000,136000
California State Polytechnic University-Pomona(Out-of-State),outofstate,,business,409000,143000
Ohio University-Main Campus(Out-of-State),outofstate,,business,409000,139000
University of California-Riverside(In-State),instate,,business,409000,133000
University of Tulsa(Private),private,,business,409000,217000
Illinois State University(Out-of-State),outofstate,,business,408000,143000
Northwest University(Private),private,,business,407000,154000
Saint Johns University(Private),private,,business,407000,205000
University of Nevada-Reno(In-State),instate,,business,406000,91500
Bridgewater State University(Out-of-State),outofstate,,business,405000,120000
Rowan University(In-State),instate,,business,405000,113000
Temple University(Out-of-State),outofstate,,business,405000,166000
University of Hartford(Private),private,,business,405000,201000
University of North Carolina at Chapel Hill(Out-of-State),outofstate,,business,405000,196000
Florida State University(Out-of-State),outofstate,,business,404000,148000
Framingham State University(Out-of-State),outofstate,,business,404000,119000
John Carroll University(Private),private,,business,404000,204000
Trinity College(Private),private,,business,404000,262000
West Chester University of Pennsylvania(Out-of-State),outofstate,,business,404000,146000
Western Connecticut State University(Out-of-State),outofstate,,business,404000,146000
Assumption College(Private),private,,business,403000,199000
Emmanuel College (Massachusetts)(Private),private,,business,403000,213000
University of Nebraska at Omaha(In-State),instate,,business,403000,80300
University of Nebraska-Lincoln(In-State),instate,,business,402000,92700
University of Northern Iowa(In-State),instate,,business,401000,80900
University of Utah(Out-of-State),outofstate,,business,401000,159000
Brigham Young University-Hawaii(Private),private,,business,400000,66200
Colorado State University-Fort Collins(Out-of-State),outofstate,,business,400000,162000
University of Nevada-Las Vegas(In-State),instate,,business,400000,89700
Moravian College(Private),private,,business,399000,210000
Truman State University(Out-of-State),outofstate,,business,399000,106000
University of Florida(Out-of-State),outofstate,,business,399000,171000
University of Miami(Private),private,,business,399000,250000
University of Minnesota-Duluth(Out-of-State),outofstate,,business,399000,110000
West Virginia University(Out-of-State),outofstate,,business,399000,135000
Cabrini University(Private),private,,business,398000,182000
California State University-Dominguez Hills(In-State),instate,,business,398000,90000
The New School(Private),private,,business,398000,256000
Utah State University(Out-of-State),outofstate,,business,398000,123000
Baylor University(Private),private,,business,397000,224000
Ithaca College(Private),private,,business,396000,232000
Pacific Lutheran University(Private),private,,business,396000,204000
Park University(Private),private,,business,396000,97800
University of New Hampshire-Main Campus(In-State),instate,,business,395000,125000
Adelphi University(Private),private,,business,394000,202000
California State University-Los Angeles(In-State),instate,,business,394000,93100
Calvin College(Private),private,,business,394000,173000
Farmingdale State College(In-State),instate,,business,394000,92400
La Sierra University(Private),private,,business,394000,172000
Lee University(Private),private,,business,393000,113000
Point Loma Nazarene University(Private),private,,business,393000,186000
Sam Houston State University(Out-of-State),outofstate,,business,393000,119000
California State University-San Marcos(Out-of-State),outofstate,,business,392000,141000
Portland State University(In-State),instate,,business,392000,94700
Rochester Institute of Technology(Private),private,,business,392000,201000
Taylor University(Private),private,,business,392000,166000
Florida Atlantic University(In-State),instate,,business,391000,88400
Towson University(Out-of-State),outofstate,,business,391000,144000
University of California-Santa Cruz(Out-of-State),outofstate,,business,391000,235000
Quinnipiac University(Private),private,,business,390000,234000
Rider University(Private),private,,business,390000,219000
Salisbury University(Out-of-State),outofstate,,business,390000,128000
University of Massachusetts-Dartmouth(In-State),instate,,business,390000,107000
University of Wisconsin-Oshkosh(Out-of-State),outofstate,,business,390000,103000
Bowling Green State University-Main Campus(In-State),instate,,business,389000,96200
Cedarville University(Private),private,,business,389000,145000
Central Washington University(Out-of-State),outofstate,,business,389000,141000
Mount Saint Mary's University(Private),private,,business,389000,214000
University of North Texas(Out-of-State),outofstate,,business,389000,123000
Loyola University Chicago(Private),private,,business,388000,220000
Sacred Heart University(Private),private,,business,388000,220000
University at Buffalo(In-State),instate,,business,387000,99400
University of South Florida-Main Campus(Out-of-State),outofstate,,business,387000,128000
Berry College(Private),private,,business,386000,183000
CUNY City College(Out-of-State),outofstate,,business,386000,138000
The University of Texas of the Permian Basin(In-State),instate,,business,386000,72500
California State University-San Bernardino(In-State),instate,,business,385000,84500
University of Arkansas(Out-of-State),outofstate,,business,385000,144000
University of Wisconsin-Milwaukee(Out-of-State),outofstate,,business,385000,132000
Ursinus College(Private),private,,business,385000,248000
Susquehanna University(Private),private,,business,384000,218000
University of Pittsburgh-Pittsburgh Campus(In-State),instate,,business,384000,130000
University of Washington-Tacoma Campus(Out-of-State),outofstate,,business,384000,196000
Rhode Island College(In-State),instate,,business,383000,83300
Kean University(In-State),instate,,business,382000,112000
Saint Cloud State University(Out-of-State),outofstate,,business,381000,109000
Vanguard University of Southern California(Private),private,,business,381000,176000
University of New Haven(Private),private,,business,380000,210000
University of Wyoming(Out-of-State),outofstate,,business,380000,117000
Carroll College(Private),private,,business,379000,175000
Rutgers University-Camden(Out-of-State),outofstate,,business,379000,176000
Saint Louis University(Private),private,,business,379000,220000
St Francis College(Private),private,,business,379000,173000
Citadel Military College of South Carolina(In-State),instate,,business,378000,107000
Xavier University(Private),private,,business,378000,194000
Butler University(Private),private,,business,377000,208000
California State University-Stanislaus(Out-of-State),outofstate,,business,377000,127000
University of Missouri-St Louis(In-State),instate,,business,377000,94300
Weber State University(Out-of-State),outofstate,,business,377000,110000
Clemson University(Out-of-State),outofstate,,business,376000,188000
Holy Family University(Private),private,,business,376000,178000
University of Northern Colorado(Out-of-State),outofstate,,business,376000,135000
California State University-Bakersfield(In-State),instate,,business,375000,93100
Central Michigan University(In-State),instate,,business,375000,90900
New York Institute of Technology(Private),private,,business,375000,207000
Notre Dame de Namur University(Private),private,,business,375000,204000
Oakland University(In-State),instate,,business,375000,91700
Wayland Baptist University(Private),private,,business,375000,102000
Woodbury University(Private),private,,business,375000,205000
Ohio Wesleyan University(Private),private,,business,374000,231000
Trinity International University-Illinois(Private),private,,business,374000,165000
Eckerd College(Private),private,,business,373000,218000
Marist College(Private),private,,business,373000,202000
Rowan University(Out-of-State),outofstate,,business,373000,145000
Saint Peter's University(Private),private,,business,373000,201000
Western Oregon University(In-State),instate,,business,373000,92100
Benedictine University(Private),private,,business,372000,162000
Florida International University(In-State),instate,,business,372000,92800
North Dakota State University-Main Campus(In-State),instate,,business,372000,80400
Old Dominion University(In-State),instate,,business,372000,94000
University of Missouri-Kansas City(Out-of-State),outofstate,,business,372000,143000
Kansas State University(In-State),instate,,business,371000,89900
St Mary's University(Private),private,,business,371000,160000
Western New England University(Private),private,,business,371000,200000
Oklahoma City University(Private),private,,business,369000,180000
Howard University(Private),private,,business,368000,169000
University of Cincinnati-Main Campus(Out-of-State),outofstate,,business,368000,172000
Georgia State University(In-State),instate,,business,367000,103000
Minnesota State University-Mankato(In-State),instate,,business,367000,74900
Oklahoma State University-Main Campus(In-State),instate,,business,367000,89000
The University of Texas of the Permian Basin(Out-of-State),outofstate,,business,367000,91600
University of North Florida(Out-of-State),outofstate,,business,367000,142000
Cardinal Stritch University(Private),private,,business,366000,162000
University of Rhode Island(Out-of-State),outofstate,,business,366000,174000
Lipscomb University(Private),private,,business,365000,173000
University of Alabama in Huntsville(In-State),instate,,business,365000,96200
College of Staten Island CUNY(In-State),instate,,business,364000,115000
Texas A & M University-Corpus Christi(In-State),instate,,business,364000,82400
University of Akron Main Campus(In-State),instate,,business,364000,99000
University of Wisconsin-Parkside(In-State),instate,,business,364000,75400
Biola University(Private),private,,business,363000,197000
Merrimack College(Private),private,,business,362000,210000
Northern Kentucky University(In-State),instate,,business,362000,82900
Oregon State University(Out-of-State),outofstate,,business,362000,170000
York College Pennsylvania(Private),private,,business,362000,125000
University of North Carolina at Charlotte(Out-of-State),outofstate,,business,361000,134000
University of Northern Iowa(Out-of-State),outofstate,,business,361000,121000
University of Wisconsin-Whitewater(In-State),instate,,business,361000,70400
Western Michigan University(In-State),instate,,business,361000,93000
Bowling Green State University-Main Campus(Out-of-State),outofstate,,business,360000,126000
CUNY Lehman College(In-State),instate,,business,360000,104000
The University of Alabama(In-State),instate,,business,360000,111000
Wagner College(Private),private,,business,360000,229000
East Carolina University(In-State),instate,,business,359000,83700
Jacksonville University(Private),private,,business,359000,192000
Shorter University(Private),private,,business,359000,135000
University of Wisconsin-La Crosse(In-State),instate,,business,359000,71400
North Carolina State University at Raleigh(Out-of-State),outofstate,,business,358000,153000
University of Nebraska at Omaha(Out-of-State),outofstate,,business,358000,126000
Boise State University(In-State),instate,,business,357000,80500
Bradley University(Private),private,,business,357000,176000
North Carolina A & T State University(In-State),instate,,business,357000,70000
Saint Michael's College(Private),private,,business,357000,212000
University of New Mexico-Main Campus(In-State),instate,,business,357000,82800
Kean University(Out-of-State),outofstate,,business,356000,138000
Lamar University(In-State),instate,,business,356000,85700
Farmingdale State College(Out-of-State),outofstate,,business,355000,131000
University of La Verne(Private),private,,business,355000,220000
Washington College(Private),private,,business,355000,227000
Appalachian State University(In-State),instate,,business,354000,75800
Augsburg College(Private),private,,business,354000,191000
Albertus Magnus College(Private),private,,business,353000,198000
Bowie State University(In-State),instate,,business,353000,84300
California State University-Dominguez Hills(Out-of-State),outofstate,,business,353000,135000
Providence College(Private),private,,business,352000,240000
University of Wisconsin-Platteville(In-State),instate,,business,352000,73300
University of Kentucky(In-State),instate,,business,351000,104000
University of Nevada-Reno(Out-of-State),outofstate,,business,351000,147000
Ottawa University-Ottawa(Private),private,,business,350000,156000
Augustana College(Private),private,,business,349000,199000
California State University-Los Angeles(Out-of-State),outofstate,,business,349000,138000
Liberty University(Private),private,,business,349000,141000
Westminster College (Missouri)(Private),private,,business,349000,147000
University of North Dakota(In-State),instate,,business,348000,82700
Texas Lutheran University(Private),private,,business,347000,159000
Washington & Jefferson College(Private),private,,business,347000,220000
Auburn University(In-State),instate,,business,346000,115000
Christopher Newport University(In-State),instate,,business,346000,109000
Monmouth University(Private),private,,business,346000,198000
University of Nebraska-Lincoln(Out-of-State),outofstate,,business,346000,149000
Radford University(In-State),instate,,business,345000,86600
University of Nevada-Las Vegas(Out-of-State),outofstate,,business,345000,145000
Colorado State University-Pueblo(In-State),instate,,business,344000,90300
Franciscan University of Steubenville(Private),private,,business,344000,144000
Southern Illinois University-Edwardsville(In-State),instate,,business,344000,93500
University of Denver(Private),private,,business,344000,236000
University of Louisiana at Monroe(In-State),instate,,business,344000,75500
Saint Mary's College(Private),private,,business,343000,201000
University of Indianapolis(Private),private,,business,343000,159000
Worcester State University(In-State),instate,,business,343000,95900
Belmont Abbey College(Private),private,,business,342000,131000
Marian University (Wisconsin)(Private),private,,business,342000,150000
Rockhurst University(Private),private,,business,342000,193000
University of New Hampshire-Main Campus(Out-of-State),outofstate,,business,342000,178000
California State University-San Bernardino(Out-of-State),outofstate,,business,341000,129000
Florida Atlantic University(Out-of-State),outofstate,,business,341000,138000
University of Pittsburgh-Pittsburgh Campus(Out-of-State),outofstate,,business,341000,172000
Eastern Illinois University(In-State),instate,,business,340000,95600
Texas A & M University-Texarkana(In-State),instate,,business,339000,72700
Wilkes University(Private),private,,business,339000,197000
Florida Institute of Technology(Private),private,,business,338000,223000
Rhode Island College(Out-of-State),outofstate,,business,338000,128000
Simmons College(Private),private,,business,338000,219000
Virginia Commonwealth University(In-State),instate,,business,338000,118000
Chapman University(Private),private,,business,337000,253000
Longwood University(In-State),instate,,business,337000,101000
Minnesota State University-Mankato(Out-of-State),outofstate,,business,337000,105000
University of Massachusetts-Dartmouth(Out-of-State),outofstate,,business,337000,160000
College of Staten Island CUNY(Out-of-State),outofstate,,business,336000,143000
Oklahoma Wesleyan University(Private),private,,business,336000,145000
The University of Tennessee-Knoxville(In-State),instate,,business,336000,117000
Bryan College-Dayton(Private),private,,business,335000,133000
Austin College(Private),private,,business,334000,198000
Frostburg State University(In-State),instate,,business,334000,81500
University of Oregon(Out-of-State),outofstate,,business,334000,185000
Wayne State University(In-State),instate,,business,334000,97900
CUNY Lehman College(Out-of-State),outofstate,,business,333000,132000
Peru State College(In-State),instate,,business,333000,70100
Peru State College(Out-of-State),outofstate,,business,333000,70100
Tarleton State University(In-State),instate,,business,333000,74400
University of Wisconsin-Parkside(Out-of-State),outofstate,,business,333000,107000
University of Wisconsin-Superior(In-State),instate,,business,333000,75100
Pennsylvania State University-Penn State Harrisburg(In-State),instate,,business,332000,127000
California State University-Bakersfield(Out-of-State),outofstate,,business,331000,138000
University of Akron Main Campus(Out-of-State),outofstate,,business,331000,133000
Eastern Connecticut State University(In-State),instate,,business,330000,101000
Linfield College-McMinnville Campus(Private),private,,business,330000,206000
Lycoming College(Private),private,,business,330000,196000
Newman University(Private),private,,business,330000,147000
Northern Arizona University(In-State),instate,,business,330000,99400
University of Wisconsin-Whitewater(Out-of-State),outofstate,,business,330000,102000
Doane University-Arts & Sciences(Private),private,,business,329000,166000
Millsaps College(Private),private,,business,329000,199000
Portland State University(Out-of-State),outofstate,,business,329000,158000
University at Buffalo(Out-of-State),outofstate,,business,329000,157000
North Dakota State University-Main Campus(Out-of-State),outofstate,,business,328000,125000
Northern Kentucky University(Out-of-State),outofstate,,business,328000,117000
Valparaiso University(Private),private,,business,328000,194000
Central Michigan University(Out-of-State),outofstate,,business,327000,139000
Duquesne University(Private),private,,business,327000,190000
Texas A & M University-Corpus Christi(Out-of-State),outofstate,,business,327000,119000
University of Maryland Eastern Shore(In-State),instate,,business,327000,87500
University of Wisconsin-La Crosse(Out-of-State),outofstate,,business,327000,103000
Walsh University(Private),private,,business,327000,163000
Pennsylvania State University-Penn State Erie-Behrend College(In-State),instate,,business,326000,127000
Saint Leo University(Private),private,,business,326000,143000
Curry College(Private),private,,business,324000,212000
Skidmore College(Private),private,,business,324000,256000
University of Wisconsin-Stout(In-State),instate,,business,324000,76600
Eastern Washington University(In-State),instate,,business,323000,88000
Oakland University(Out-of-State),outofstate,,business,323000,143000
Rockford University(Private),private,,business,323000,162000
Shippensburg University of Pennsylvania(In-State),instate,,business,323000,102000
Florida International University(Out-of-State),outofstate,,business,322000,142000
Houston Baptist University(Private),private,,business,322000,167000
Eastern Michigan University(In-State),instate,,business,321000,88400
University of Wisconsin-Platteville(Out-of-State),outofstate,,business,321000,104000
Colorado Christian University(Private),private,,business,320000,163000
University of Louisville(In-State),instate,,business,320000,98400
Lamar University(Out-of-State),outofstate,,business,319000,122000
Nichols College(Private),private,,business,319000,193000
Texas A & M University-Commerce(In-State),instate,,business,319000,72800
University of Missouri-St Louis(Out-of-State),outofstate,,business,319000,153000
Western Oregon University(Out-of-State),outofstate,,business,319000,146000
Worcester State University(Out-of-State),outofstate,,business,319000,120000
Wright State University-Main Campus(In-State),instate,,business,319000,92000
Capital University(Private),private,,business,318000,183000
Minnesota State University Moorhead(In-State),instate,,business,318000,78900
Pacific Union College(Private),private,,business,318000,164000
University of Alabama in Huntsville(Out-of-State),outofstate,,business,318000,143000
University of Central Oklahoma(In-State),instate,,business,318000,76600
Morehouse College(Private),private,,business,317000,191000
Oakland City University(Private),private,,business,316000,142000
University of Toledo(In-State),instate,,business,316000,98100
Gustavus Adolphus College(Private),private,,business,315000,209000
Kansas State University(Out-of-State),outofstate,,business,315000,145000
Nyack College(Private),private,,business,315000,153000
Oklahoma State University-Main Campus(Out-of-State),outofstate,,business,315000,141000
University of Central Florida(In-State),instate,,business,315000,86200
Southwestern University(Private),private,,business,314000,201000
Bethel University (Minnesota)(Private),private,,business,313000,187000
Castleton University(In-State),instate,,business,313000,91500
New Mexico State University-Main Campus(In-State),instate,,business,313000,75600
University of California-Riverside(Out-of-State),outofstate,,business,312000,230000
Bowie State University(Out-of-State),outofstate,,business,311000,126000
Indiana State University(In-State),instate,,business,311000,84500
Madonna University(Private),private,,business,311000,122000
Hampton University(Private),private,,business,310000,145000
Baker College(Private),private,,business,309000,82000
Georgia State University(Out-of-State),outofstate,,business,309000,162000
Hope College(Private),private,,business,309000,168000
LIU Post(Private),private,,business,309000,210000
Midwestern State University(In-State),instate,,business,309000,75000
Saint Anselm College(Private),private,,business,309000,211000
Transylvania University(Private),private,,business,309000,185000
Bloomsburg University of Pennsylvania(In-State),instate,,business,308000,90800
Idaho State University(In-State),instate,,business,308000,83500
Marymount Manhattan College(Private),private,,business,308000,206000
Stockton University(In-State),instate,,business,308000,115000
University of Hawaii at Manoa(In-State),instate,,business,308000,107000
Wofford College(Private),private,,business,308000,210000
Angelo State University(In-State),instate,,business,307000,77300
Azusa Pacific University(Private),private,,business,307000,192000
Central College(Private),private,,business,307000,189000
North Carolina A & T State University(Out-of-State),outofstate,,business,307000,119000
Walla Walla University(Private),private,,business,307000,148000
Old Dominion University(Out-of-State),outofstate,,business,306000,160000
St Bonaventure University(Private),private,,business,306000,177000
Barry University(Private),private,,business,305000,182000
Clayton State University(In-State),instate,,business,305000,75800
Millersville University of Pennsylvania(In-State),instate,,business,305000,101000
The University of Texas at El Paso(In-State),instate,,business,305000,86000
University of North Dakota(Out-of-State),outofstate,,business,305000,126000
South Dakota State University(In-State),instate,,business,304000,96900
University of Wisconsin-River Falls(In-State),instate,,business,304000,73600
Boise State University(Out-of-State),outofstate,,business,303000,134000
Christopher Newport University(Out-of-State),outofstate,,business,303000,152000
Keene State College(In-State),instate,,business,303000,103000
Southern Utah University(In-State),instate,,business,303000,78200
University of Portland(Private),private,,business,303000,226000
University of Wisconsin-Superior(Out-of-State),outofstate,,business,303000,105000
Western Michigan University(Out-of-State),outofstate,,business,303000,151000
Alfred University(Private),private,,business,302000,165000
Arcadia University(Private),private,,business,302000,218000
Eastern Illinois University(Out-of-State),outofstate,,business,302000,134000
Eastern Kentucky University(In-State),instate,,business,302000,80200
Pennsylvania State University-Penn State Harrisburg(Out-of-State),outofstate,,business,302000,157000
Appalachian State University(Out-of-State),outofstate,,business,301000,130000
Midwestern State University(Out-of-State),outofstate,,business,301000,82800
Samford University(Private),private,,business,301000,172000
University of New Mexico-Main Campus(Out-of-State),outofstate,,business,301000,139000
Chestnut Hill College(Private),private,,business,300000,188000
Francis Marion University(In-State),instate,,business,300000,87300
Georgia Southern University(In-State),instate,,business,300000,90900
North Carolina Wesleyan College(Private),private,,business,300000,158000
Texas A & M University-Texarkana(Out-of-State),outofstate,,business,300000,111000
University of Kentucky(Out-of-State),outofstate,,business,300000,155000
University of Michigan-Flint(In-State),instate,,business,300000,94000
Wichita State University(In-State),instate,,business,300000,83100
New Mexico Highlands University(In-State),instate,,business,299000,67900
Oklahoma Christian University(Private),private,,business,299000,125000
Suffolk University(Private),private,,business,299000,207000
University of Memphis(In-State),instate,,business,299000,95800
Winona State University(In-State),instate,,business,299000,84900
Citadel Military College of South Carolina(Out-of-State),outofstate,,business,298000,187000
East Carolina University(Out-of-State),outofstate,,business,298000,145000
Southern Illinois University-Edwardsville(Out-of-State),outofstate,,business,298000,139000
The University of Alabama(Out-of-State),outofstate,,business,298000,173000
University of Maine(In-State),instate,,business,298000,94200
University of New Orleans(In-State),instate,,business,298000,85700
Concordia University-Nebraska(Private),private,,business,297000,148000
Indiana University-Purdue University-Indianapolis(In-State),instate,,business,297000,88200
Judson University(Private),private,,business,297000,163000
Mercy College(Private),private,,business,297000,142000
Messiah College(Private),private,,business,297000,179000
Tarleton State University(Out-of-State),outofstate,,business,297000,110000
University of Louisiana at Monroe(Out-of-State),outofstate,,business,297000,122000
Westfield State University(In-State),instate,,business,297000,88500
Pennsylvania State University-Penn State Erie-Behrend College(Out-of-State),outofstate,,business,296000,157000
Radford University(Out-of-State),outofstate,,business,296000,136000
Colorado State University-Pueblo(Out-of-State),outofstate,,business,295000,139000
Lewis University(Private),private,,business,295000,166000
Texas Woman's University(In-State),instate,,business,295000,74500
Cleveland State University(In-State),instate,,business,294000,103000
Endicott College(Private),private,,business,294000,189000
Kutztown University of Pennsylvania(In-State),instate,,business,294000,95100
Pennsylvania College of Technology(In-State),instate,,business,294000,124000
Southwestern Oklahoma State University(In-State),instate,,business,294000,74100
University of Mobile(Private),private,,business,294000,139000
William Penn University(Private),private,,business,294000,141000
South Dakota State University(Out-of-State),outofstate,,business,293000,108000
University of Central Arkansas(In-State),instate,,business,293000,80400
University of Wisconsin-Stout(Out-of-State),outofstate,,business,293000,108000
William Jewell College(Private),private,,business,293000,181000
Bemidji State University(In-State),instate,,business,292000,78300
Bemidji State University(Out-of-State),outofstate,,business,292000,78300
Mississippi State University(In-State),instate,,business,292000,90800
SUNY Oneonta(In-State),instate,,business,292000,90600
Southern Connecticut State University(In-State),instate,,business,292000,95600
University of Maryland Eastern Shore(Out-of-State),outofstate,,business,291000,123000
Minnesota State University Moorhead(Out-of-State),outofstate,,business,290000,107000
Shenandoah University(Private),private,,business,290000,178000
Southern Illinois University-Carbondale(In-State),instate,,business,290000,106000
University of South Florida-St Petersburg(In-State),instate,,business,290000,81800
Indiana Wesleyan University-Marion(Private),private,,business,289000,143000
Grace College and Theological Seminary(Private),private,,business,288000,135000
New Mexico Highlands University(Out-of-State),outofstate,,business,288000,78700
Shippensburg University of Pennsylvania(Out-of-State),outofstate,,business,288000,136000
Tuskegee University(Private),private,,business,288000,140000
Frostburg State University(Out-of-State),outofstate,,business,287000,128000
Roosevelt University(Private),private,,business,287000,182000
University of Mississippi(In-State),instate,,business,287000,92100
Roger Williams University(Private),private,,business,286000,201000
Wright State University-Main Campus(Out-of-State),outofstate,,business,286000,125000
Canisius College(Private),private,,business,285000,198000
Dominican College of Blauvelt(Private),private,,business,285000,167000
King's College(Private),private,,business,285000,192000
Presbyterian College(Private),private,,business,285000,195000
Nova Southeastern University(Private),private,,business,284000,180000
Our Lady of the Lake University(Private),private,,business,284000,152000
Plymouth State University(In-State),instate,,business,284000,109000
Salem State University(In-State),instate,,business,284000,95000
Morgan State University(In-State),instate,,business,283000,93500
University of West Georgia(In-State),instate,,business,283000,88500
Baker University(Private),private,,business,282000,163000
Dakota State University(In-State),instate,,business,282000,76600
Dominican University of California(Private),private,,business,282000,242000
Eastern Connecticut State University(Out-of-State),outofstate,,business,282000,149000
Longwood University(Out-of-State),outofstate,,business,282000,156000
University of Central Oklahoma(Out-of-State),outofstate,,business,282000,112000
Fitchburg State University(In-State),instate,,business,281000,87100
Lindenwood University(Private),private,,business,281000,124000
Millikin University(Private),private,,business,281000,173000
Montana State University-Billings(In-State),instate,,business,281000,73200
