major,college_name,college_type,financial_aid,roi,total_cost
art,University of Connecticut(In-State),instate,1.0,233000,115000
art,University of California-Santa Cruz(Out-of-State),outofstate,1.0,232000,235000
art,Western Washington University(In-State),instate,1.0,231000,91800
art,Arizona State University-Tempe(In-State),instate,1.0,230000,100000
art,Clark University(Private),private,1.0,230000,204000
art,Frostburg State University(In-State),instate,1.0,230000,81500
art,University of California-Berkeley(Out-of-State),outofstate,1.0,230000,236000
art,California State University-East Bay(Out-of-State),outofstate,1.0,229000,138000
art,University of Michigan-Ann Arbor(Out-of-State),outofstate,1.0,229000,226000
art,St John's University-New York(Private),private,1.0,228000,230000
art,California State University-Fullerton(Out-of-State),outofstate,1.0,227000,145000
art,University of Washington-Seattle Campus(Out-of-State),outofstate,1.0,227000,194000
art,William Paterson University of New Jersey(In-State),instate,1.0,227000,112000
art,Biola University(Private),private,1.0,226000,197000
art,University of Florida(In-State),instate,1.0,226000,81600
art,George Mason University(Out-of-State),outofstate,1.0,224000,187000
art,Philadelphia University(Private),private,1.0,224000,211000
art,Drexel University(Private),private,1.0,222000,267000
art,Denison University(Private),private,1.0,218000,239000
art,University of Georgia(In-State),instate,1.0,218000,96100
art,California State University-Chico(Out-of-State),outofstate,1.0,217000,137000
art,Iowa State University(In-State),instate,1.0,217000,77200
art,University of California-Irvine(In-State),instate,1.0,216000,127000
art,University of Minnesota-Twin Cities(In-State),instate,1.0,216000,104000
art,Wake Forest University(Private),private,1.0,216000,254000
art,Ohio State University-Main Campus(In-State),instate,1.0,215000,103000
art,University of Illinois at Urbana-Champaign(Out-of-State),outofstate,1.0,215000,178000
art,University of Maryland-College Park(Out-of-State),outofstate,1.0,214000,182000
art,University of Miami(Private),private,1.0,213000,250000
art,San Diego State University(Out-of-State),outofstate,1.0,210000,150000
art,Boston College(Private),private,1.0,209000,257000
art,Mills College(Private),private,1.0,209000,240000
art,University of Utah(In-State),instate,1.0,209000,89300
art,University of Vermont(In-State),instate,1.0,208000,122000
art,California State University-Sacramento(Out-of-State),outofstate,1.0,206000,140000
art,Central Connecticut State University(In-State),instate,1.0,206000,97300
art,Colorado State University-Fort Collins(In-State),instate,1.0,206000,95300
art,Massachusetts College of Art and Design(Out-of-State),outofstate,1.0,206000,189000
art,University of North Carolina School of the Arts(In-State),instate,1.0,206000,90400
art,California State University-Long Beach(Out-of-State),outofstate,1.0,205000,136000
art,Montclair State University(In-State),instate,1.0,204000,115000
art,SUNY at Albany(In-State),instate,1.0,204000,94700
art,University of Delaware(Out-of-State),outofstate,1.0,204000,180000
art,Kean University(In-State),instate,1.0,203000,112000
art,California State Polytechnic University-Pomona(Out-of-State),outofstate,1.0,201000,143000
art,Drew University(Private),private,1.0,200000,248000
art,James Madison University(Out-of-State),outofstate,1.0,198000,156000
art,University of Kansas(In-State),instate,1.0,198000,95700
art,Miami University-Oxford(In-State),instate,1.0,197000,119000
art,Purdue University-Main Campus(In-State),instate,1.0,197000,92300
art,SUNY at Purchase College(Out-of-State),outofstate,1.0,196000,139000
art,Skidmore College(Private),private,1.0,196000,256000
art,University of Massachusetts-Lowell(Out-of-State),outofstate,1.0,196000,169000
art,William Paterson University of New Jersey(Out-of-State),outofstate,1.0,196000,143000
art,Temple University(Out-of-State),outofstate,1.0,195000,166000
art,University of Maryland-Baltimore County(In-State),instate,1.0,195000,103000
art,Texas Christian University(Private),private,1.0,193000,223000
art,University of Colorado Boulder(In-State),instate,1.0,193000,120000
art,University of Massachusetts-Amherst(In-State),instate,1.0,193000,110000
art,University of Chicago(Private),private,1.0,192000,275000
art,Pennsylvania State University-Main Campus(Out-of-State),outofstate,1.0,190000,193000
art,DePaul University(Private),private,1.0,189000,207000
art,Michigan State University(In-State),instate,1.0,189000,103000
art,University of Wisconsin-Madison(In-State),instate,1.0,189000,98200
art,Ramapo College of New Jersey(In-State),instate,1.0,188000,119000
art,Towson University(In-State),instate,1.0,188000,96900
art,University of Oklahoma-Norman Campus(In-State),instate,1.0,186000,99900
art,Emerson College(Private),private,1.0,185000,232000
art,Indiana University-Bloomington(In-State),instate,1.0,185000,97600
art,University of Dayton(Private),private,1.0,185000,211000
art,University of Minnesota-Twin Cities(Out-of-State),outofstate,1.0,185000,136000
art,Frostburg State University(Out-of-State),outofstate,1.0,184000,128000
art,Howard University(Private),private,1.0,184000,169000
art,Sonoma State University(In-State),instate,1.0,184000,96800
art,University of Missouri-Columbia(In-State),instate,1.0,184000,96600
art,CUNY City College(In-State),instate,1.0,183000,111000
art,Rutgers University-New Brunswick(Out-of-State),outofstate,1.0,182000,181000
art,Saint Cloud State University(In-State),instate,1.0,182000,77700
art,Western Washington University(Out-of-State),outofstate,1.0,182000,140000
art,Northern Illinois University(In-State),instate,1.0,181000,115000
art,University of Oregon(In-State),instate,1.0,180000,99700
art,University of Wisconsin-Stout(In-State),instate,1.0,180000,76600
art,Eastern Illinois University(In-State),instate,1.0,179000,95600
art,University of California-San Diego(Out-of-State),outofstate,1.0,179000,223000
art,University of North Texas(In-State),instate,1.0,179000,86400
art,Catholic University of America(Private),private,1.0,178000,233000
art,Kean University(Out-of-State),outofstate,1.0,177000,138000
art,Rowan University(In-State),instate,1.0,176000,113000
art,Minneapolis College of Art and Design(Private),private,1.0,175000,184000
art,Suffolk University(Private),private,1.0,174000,207000
art,University of Wisconsin-Eau Claire(In-State),instate,1.0,174000,77200
art,University of Bridgeport(Private),private,1.0,173000,207000
