state_name,college_name,college_type,roi,total_cost,grad_rate,yrs2grad,financial_aid,loan_amt,perc_grant
ALABAMA,Auburn University at Montgomery(Out-of-State),outofstate,95000,124000,23,6,0.0,N/A,N/A
ALABAMA,University of Mobile(Private),private,80900,139000,48,5,0.0,N/A,N/A
ALABAMA,Judson College(Private),private,59600,121000,33,4,0.0,N/A,N/A
ALABAMA,University of West Alabama(In-State),instate,49700,76000,31,5,0.0,N/A,N/A
ALABAMA,Spring Hill College(Private),private,47700,198000,53,4,0.0,N/A,N/A
ALABAMA,Faulkner University(Private),private,41600,128000,33,5,0.0,N/A,N/A
ALABAMA,Alabama State University(In-State),instate,36900,75300,22,5,0.0,N/A,N/A
ALABAMA,Southeastern Bible College(Private),private,31300,81100,36,5,0.0,N/A,N/A
ALABAMA,University of West Alabama(Out-of-State),outofstate,21900,104000,31,5,0.0,N/A,N/A
ALABAMA,Alabama State University(Out-of-State),outofstate,9100,103000,22,5,0.0,N/A,N/A
ALABAMA,University of Montevallo(In-State),instate,-20200,99200,50,5,0.0,N/A,N/A
ALABAMA,Oakwood University(Private),private,-25000,144000,47,5,0.0,N/A,N/A
ALABAMA,University of Montevallo(Out-of-State),outofstate,-64100,143000,50,5,0.0,N/A,N/A
ALABAMA,Stillman College(Private),private,-80400,98700,18,5,0.0,N/A,N/A
ALABAMA,Talladega College(Private),private,-156900,88200,43,4,0.0,N/A,N/A
ALABAMA,Miles College(Private),private,-164600,90200,17,4,0.0,N/A,N/A
ALASKA,University of Alaska Fairbanks(In-State),instate,555000,70500,25,5,1.0,24300,26
ALASKA,University of Alaska Fairbanks(Out-of-State),outofstate,509000,116000,25,5,1.0,24300,26
ALASKA,University of Alaska Anchorage(In-State),instate,421000,87800,24,5,1.0,20700,30
ALASKA,Alaska Pacific University(Private),private,419000,139000,48,4,1.0,32000,50
ALASKA,University of Alaska Anchorage(Out-of-State),outofstate,376000,133000,24,5,1.0,20700,30
ALASKA,University of Alaska Fairbanks(In-State),instate,527000,70500,25,5,0.0,N/A,N/A
ALASKA,University of Alaska Fairbanks(Out-of-State),outofstate,481000,116000,25,5,0.0,N/A,N/A
ALASKA,University of Alaska Anchorage(In-State),instate,397000,87800,24,5,0.0,N/A,N/A
ALASKA,Alaska Pacific University(Private),private,370000,139000,48,4,0.0,N/A,N/A
ALASKA,University of Alaska Anchorage(Out-of-State),outofstate,352000,133000,24,5,0.0,N/A,N/A
ARIZONA,Embry-Riddle Aeronautical University-Prescott(Private),private,594000,192000,63,5,1.0,51100,24
ARIZONA,University of Arizona(In-State),instate,467000,103000,60,4,1.0,27400,26
ARIZONA,Arizona State University-Tempe(In-State),instate,450000,100000,67,4,1.0,25900,26
ARIZONA,Arizona State University-Tempe(Out-of-State),outofstate,390000,160000,67,4,1.0,25900,26
ARIZONA,University of Arizona(Out-of-State),outofstate,388000,183000,60,4,1.0,27400,26
ARIZONA,Northern Arizona University(In-State),instate,291000,99400,53,4,1.0,24500,36
ARIZONA,Northern Arizona University(Out-of-State),outofstate,240000,151000,53,4,1.0,24500,36
ARIZONA,Prescott College(Private),private,46600,161000,31,4,1.0,34300,43
ARIZONA,Embry-Riddle Aeronautical University-Prescott(Private),private,529000,192000,63,5,0.0,N/A,N/A
ARIZONA,University of Arizona(In-State),instate,431000,103000,60,4,0.0,N/A,N/A
ARIZONA,Arizona State University-Tempe(In-State),instate,406000,100000,67,4,0.0,N/A,N/A
ARIZONA,University of Arizona(Out-of-State),outofstate,351000,183000,60,4,0.0,N/A,N/A
